e4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
h3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bxh3 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : h3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Re1 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rfe8 : {Piece : Rook, moveFrom : e8, moveTo : f<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bb5 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : b5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rxb5 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : b5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
c4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rc5 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : c5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
cxd5 : {Piece : Pawn, moveFrom : d5, moveTo : c<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Rxd5 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : d5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nc3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rxd3 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : d3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Re3 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rxe3 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
dxe3 : {Piece : Pawn, moveFrom : e3, moveTo : d<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
e4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nd4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Be5 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qd2 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bxd4 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
