e4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qxe4 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qxe4 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
c6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxf2+ : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f2, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Bxf2 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : f2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
d6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
c7 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qxg2+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : g2, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Bxg2 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : g2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Kf7 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : f7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
c8=Q : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c8, checkStatus : nocheck, pawnPromotion : Queen, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : Promotion}
d5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bh3 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : h3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qxe6+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : e6, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Kf8 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : f8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qf6+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : f6, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Ke8 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : e8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qf5 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : f5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qb5+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b5, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Kf8 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : f8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Be6 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : e6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d2 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Be3 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : e3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d1=Q+ : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d1, checkStatus : check, pawnPromotion : Queen, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : Promotion}
Kg2 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : g2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
a6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : a6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qb8+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b8, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Ke7 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : e7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qb6 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Kf8 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : f8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bc5+ : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : c5, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Ke8 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : e8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qc7 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : c7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qd2+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d2, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Kf1 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : f1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qc2 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : c2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qc8# : {Piece : Queen, moveFrom : <NoSquare>, moveTo : c8, checkStatus : checkmate, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
